truth,trial,seed,alpha,beta,decision,error,stopping_time
Q,168,260717755,0.05,0.01,Q,False,74
Q,168,260717755,0.01,0.05,Q,False,74
Q,169,260717756,0.05,0.05,Q,False,93
Q,169,260717756,0.05,0.01,Q,False,93
Q,169,260717756,0.01,0.05,Q,False,95
Q,170,260717757,0.05,0.05,Q,False,80
Q,170,260717757,0.05,0.01,Q,False,80
Q,170,260717757,0.01,0.05,Q,False,87
Q,171,260717758,0.05,0.05,Q,False,114
Q,171,260717758,0.05,0.01,Q,False,114
Q,171,260717758,0.01,0.05,Q,False,117
Q,172,260717759,0.05,0.05,Q,False,91
Q,172,260717759,0.05,0.01,Q,False,91
Q,172,260717759,0.01,0.05,Q,False,94
Q,173,260717760,0.05,0.05,Q,False,102
Q,173,260717760,0.05,0.01,Q,False,102
Q,173,260717760,0.01,0.05,Q,False,103
Q,174,260717761,0.05,0.05,Q,False,94
Q,174,260717761,0.05,0.01,Q,False,94
Q,174,260717761,0.01,0.05,Q,False,100
Q,175,260717762,0.05,0.05,Q,False,53
Q,175,260717762,0.05,0.01,Q,False,53
Q,175,260717762,0.01,0.05,Q,False,56
Q,176,260717763,0.05,0.05,Q,False,33
Q,176,260717763,0.05,0.01,Q,False,33
Q,176,260717763,0.01,0.05,Q,False,33
Q,177,260717764,0.05,0.05,Q,False,62
Q,177,260717764,0.05,0.01,Q,False,62
Q,177,260717764,0.01,0.05,Q,False,71
Q,178,260717765,0.05,0.05,Q,False,76
Q,178,260717765,0.05,0.01,Q,False,76
Q,178,260717765,0.01,0.05,Q,False,92
Q,179,260717766,0.05,0.05,Q,False,111
Q,179,260717766,0.05,0.01,Q,False,111
Q,179,260717766,0.01,0.05,Q,False,112
Q,180,260717767,0.05,0.05,Q,False,77
Q,180,260717767,0.05,0.01,Q,False,77
Q,180,260717767,0.01,0.05,Q,False,79
Q,181,260717768,0.05,0.05,Q,False,117
Q,181,260717768,0.05,0.01,Q,False,117
Q,181,260717768,0.01,0.05,Q,False,118
Q,182,260717769,0.05,0.05,Q,False,73
Q,182,260717769,0.05,0.01,Q,False,73
Q,182,260717769,0.01,0.05,Q,False,75
Q,183,260717770,0.05,0.05,Q,False,57
Q,183,260717770,0.05,0.01,Q,False,57
Q,183,260717770,0.01,0.05,Q,False,58
Q,184,260717771,0.05,0.05,Q,False,95
Q,184,260717771,0.05,0.01,Q,False,95
Q,184,260717771,0.01,0.05,Q,False,97
Q,185,260717772,0.05,0.05,Q,False,42
Q,185,260717772,0.05,0.01,Q,False,42
Q,185,260717772,0.01,0.05,Q,False,48
Q,186,260717773,0.05,0.05,Q,False,95
Q,186,260717773,0.05,0.01,Q,False,95
Q,186,260717773,0.01,0.05,Q,False,100
Q,187,260717774,0.05,0.05,Q,False,112
Q,187,260717774,0.05,0.01,Q,False,112
Q,187,260717774,0.01,0.05,Q,False,114
Q,188,260717775,0.05,0.05,Q,False,94
Q,188,260717775,0.05,0.01,Q,False,94
Q,188,260717775,0.01,0.05,Q,False,96
Q,189,260717776,0.05,0.05,Q,False,79
Q,189,260717776,0.05,0.01,Q,False,79
Q,189,260717776,0.01,0.05,Q,False,84
Q,190,260717777,0.05,0.05,Q,False,97
Q,190,260717777,0.05,0.01,Q,False,97
Q,190,260717777,0.01,0.05,Q,False,103
Q,191,260717778,0.05,0.05,Q,False,81
Q,191,260717778,0.05,0.01,Q,False,81
